Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
02/2023;RMP;Cloreto de Potássio;Conceiçãozinha;SP;Rondonópolis;MT;51.759;85.286.289
02/2023;RMP;Contêiner Cheio de 20 Pés;Cubatão;SP;Rondonópolis;MT;299;486.796
02/2023;RMP;Contêiner Cheio de 40 Pés;Boa Vista Nova;SP;Rondonópolis;MT;69;94.547
02/2023;RMP;Contêiner Cheio de 40 Pés;Boa Vista Velha;SP;Rondonópolis;MT;20.688;28.319.035
02/2023;RMP;Contêiner Cheio de 40 Pés;Cubatão;SP;Rondonópolis;MT;625;1.017.551
02/2023;RMP;Contêiner Vazio de 20 Pés;Boa Vista Velha;SP;Rondonópolis;MT;1.184;1.620.733
02/2023;RMP;Contêiner Vazio de 20 Pés;Cubatão;SP;Rondonópolis;MT;426;694.984
02/2023;RMP;Contêiner Vazio de 40 Pés;Boa Vista Velha;SP;Rondonópolis;MT;4.480;6.132.506
02/2023;RMP;Contêiner Vazio de 40 Pés;Cubatão;SP;Rondonópolis;MT;3.736;6.094.985
02/2023;RMP;Farelo de Soja;Conceiçãozinha;SP;Rondonópolis;MT;198;326.870
02/2023;RMP;Gasolina;Replan;SP;Rio Preto Paulista;SP;393;167.035
02/2023;RMP;Gasolina;Replan;SP;Rondonópolis;MT;7.105;9.867.384
02/2023;RMP;Gasolina;Replan;SP;T. Olacyr F. Morais;MS;1.673;1.767.683
02/2023;RMP;Óleo Diesel;Replan;SP;Rio Preto Paulista;SP;3.669;1.543.658
02/2023;RMP;Óleo Diesel;Replan;SP;Rondonópolis;MT;95.028;132.128.529
02/2023;RMP;Óleo Diesel;Replan;SP;T. Olacyr F. Morais;MS;8.826;9.325.505
02/2023;RMP;Ureia;Conceiçãozinha;SP;Rondonópolis;MT;5.534;9.114.464
02/2023;RMP;Ureia;Cubatão;SP;Rondonópolis;MT;3.037;4.956.232
02/2023;RMS;Açúcar;Londrina;PR;D Pedro II;PR;3.534;2.229.981
02/2023;RMS;Açúcar;Marialva;PR;D Pedro II;PR;51.922;32.201.294
02/2023;RMS;Açúcar;Maringa;PR;D Pedro II;PR;30.447;19.844.046
02/2023;RMS;Açúcar;Rolandia;PR;D Pedro II;PR;74.588;45.924.095
02/2023;RMS;Adubo Orgânico a Granel;D Pedro II;PR;Cará-Cará;PR;475;113.941
02/2023;RMS;Adubo Orgânico a Granel;D Pedro II;PR;Cascavel;PR;843;619.435
02/2023;RMS;Adubo Orgânico a Granel;D Pedro II;PR;Desvio Ribas;PR;896;206.209
02/2023;RMS;Adubo Orgânico a Granel;km 5;PR;Cascavel;PR;1.162;848.811
02/2023;RMS;Adubo Orgânico a Granel;km 5;PR;Maringa;PR;917;593.696
02/2023;RMS;Adubo Orgânico a Granel;Rio Grande;RS;Cruz Alta;RS;3.065;2.261.791
02/2023;RMS;Álcool;Eng. Vicente Montanha;PR;Pátio Industrial;RS;14.666;18.234.266
02/2023;RMS;Álcool;Londrina;PR;Araucária Terminal;PR;11.595;5.867.299
02/2023;RMS;Álcool;Londrina;PR;Pátio Industrial;RS;1.924;2.377.394
02/2023;RMS;Álcool;Ourinhos;SP;Araucária Terminal;PR;3.777;2.730.977
02/2023;RMS;Álcool;Ourinhos;SP;Pátio Industrial;RS;1.008;1.464.308
02/2023;RMS;Álcool;Sarandi;PR;Araucária Terminal;PR;6.070;3.101.350
02/2023;RMS;Álcool;Sarandi;PR;Pátio Industrial;RS;2.204;2.734.200
02/2023;RMS;Celulose;Ortigueira;PR;km 5;PR;63.040;28.815.520
02/2023;RMS;Cimento acondicionado;Apiai;SP;Londrina;PR;13.948;8.059.056
02/2023;RMS;Cimento acondicionado;Apiai;SP;Uvaranas;PR;16.584;3.225.952
02/2023;RMS;Cimento acondicionado;Rio Branco do Sul;PR;Cascavel;PR;7.460;5.113.844
02/2023;RMS;Cimento acondicionado;Rio Branco do Sul;PR;Londrina;PR;8.393;4.882.300
02/2023;RMS;Cimento acondicionado;Rio Branco do Sul;PR;Maringa;PR;20.037;12.071.491
02/2023;RMS;Clínquer;Rio Branco do Sul;PR;Pátio Industrial;RS;29.135;25.972.774
02/2023;RMS;Cloreto de Potássio;km 5;PR;Cará-Cará;PR;3.317;781.329
02/2023;RMS;Cloreto de Potássio;Rio Grande;RS;Cruz Alta;RS;3.355;2.475.794
02/2023;RMS;Cloreto de Potássio;São Francisco do Sul;SC;Cascavel;PR;1.921;1.616.461
02/2023;RMS;Contêiner Cheio de 20 Pés;Cambe;PR;D Pedro II;PR;1.407;877.782
02/2023;RMS;Contêiner Cheio de 40 Pés;Cambe;PR;D Pedro II;PR;40.413;25.212.377
02/2023;RMS;Contêiner Cheio de 40 Pés;Cascavel;PR;D Pedro II;PR;33.701;24.763.461
02/2023;RMS;Contêiner Cheio de 40 Pés;D Pedro II;PR;Cambe;PR;3.009;1.877.218
02/2023;RMS;Contêiner Cheio de 40 Pés;km 5;PR;Ortigueira;PR;63;43.670
02/2023;RMS;Contêiner Cheio de 40 Pés;Ortigueira;PR;D Pedro II;PR;21.654;9.991.653
02/2023;RMS;Contêiner Vazio de 20 Pés;D Pedro II;PR;Cambe;PR;113;70.497
02/2023;RMS;Contêiner Vazio de 40 Pés;D Pedro II;PR;Cambe;PR;4.926;3.073.173
02/2023;RMS;Contêiner Vazio de 40 Pés;D Pedro II;PR;Cascavel;PR;4.750;3.490.295
02/2023;RMS;Contêiner Vazio de 40 Pés;D Pedro II;PR;Ortigueira;PR;3.421;1.578.528
02/2023;RMS;Farelo de Soja;Cruz Alta;RS;Rio Grande;RS;34.509;25.465.640
02/2023;RMS;Farelo de Soja;D Pedro II;PR;Londrina;PR;305;192.457
02/2023;RMS;Farelo de Soja;Desvio Ribas;PR;D Pedro II;PR;47.508;10.933.680
02/2023;RMS;Farelo de Soja;Ijuí;RS;Rio Grande;RS;12.127;9.597.768
02/2023;RMS;Farelo de Soja;Londrina;PR;D Pedro II;PR;43.738;27.599.024
02/2023;RMS;Farelo de Soja;Maringa;PR;D Pedro II;PR;5.245;3.418.465
02/2023;RMS;Fosfato;km 5;PR;Cará-Cará;PR;362;85.270
02/2023;RMS;Fosfato;Rio Grande;RS;Cruz Alta;RS;102;75.270
02/2023;RMS;Gasolina;Araucária Terminal;PR;Eng. Vicente Montanha;PR;4.281;2.199.021
02/2023;RMS;Gasolina;Araucária Terminal;PR;Lages;SC;5.247;2.090.010
02/2023;RMS;Gasolina;Araucária Terminal;PR;Londrina;PR;6.192;3.133.275
02/2023;RMS;Gasolina;Araucária Terminal;PR;Ourinhos;SP;682;493.123
02/2023;RMS;Gasolina;Araucária Terminal;PR;Passo Fundo;RS;2.843;2.416.589
02/2023;RMS;Gasolina;Araucária Terminal;PR;Sarandi;PR;2.468;1.260.977
02/2023;RMS;Gasolina;D Pedro II;PR;Araucária Terminal;PR;3.357;419.584
02/2023;RMS;Gasolina;D Pedro II;PR;Eng. Vicente Montanha;PR;541;345.514
02/2023;RMS;Gasolina;D Pedro II;PR;Londrina;PR;550;347.054
02/2023;RMS;Gasolina;D Pedro II;PR;Pátio Industrial;RS;2.314;2.176.918
02/2023;RMS;Gasolina;D Pedro II;PR;Sarandi;PR;2.232;1.409.728
02/2023;RMS;Gasolina;Pátio Industrial;RS;Passo Fundo;RS;1.906;530.984
02/2023;RMS;Gasolina;Pátio Industrial;RS;Santa Maria;RS;915;280.845
02/2023;RMS;Grãos - Milho;Cascavel;PR;São Francisco do Sul;SC;540;454.393
02/2023;RMS;Grãos - Milho;Cruz Alta;RS;Rio Grande;RS;5.906;4.358.284
02/2023;RMS;Grãos - Milho;Londrina;PR;D Pedro II;PR;33.449;21.106.579
02/2023;RMS;Grãos - Milho;Londrina;PR;São Francisco do Sul;SC;6.780;5.001.456
02/2023;RMS;Grãos - Milho;Marialva;PR;D Pedro II;PR;18.757;11.632.824
02/2023;RMS;Grãos - Milho;Maringa;PR;D Pedro II;PR;74.822;48.765.825
02/2023;RMS;Grãos - Milho;Maringa;PR;São Francisco do Sul;SC;39.080;29.639.347
02/2023;RMS;Grãos - Milho;Rio Grande;RS;Cruz Alta;RS;705;520.249
02/2023;RMS;Grãos - Milho;Rolandia;PR;D Pedro II;PR;24.158;14.869.439
02/2023;RMS;Grãos - Milho;São Francisco do Sul;SC;Maringa;PR;1.779;1.349.243
02/2023;RMS;Grãos - Milho;Tigre;RS;Rio Grande;RS;1.198;668.519
02/2023;RMS;Grãos - Trigo;Cacequi;RS;Rio Grande;RS;15.887;7.660.510
02/2023;RMS;Grãos - Trigo;Cruz Alta;RS;Rio Grande;RS;71.387;52.679.455
02/2023;RMS;Grãos - Trigo;Ijuí;RS;Rio Grande;RS;9.512;7.528.156
02/2023;RMS;Grãos - Trigo;J.De Castilhos;RS;Rio Grande;RS;3.202;2.108.948
02/2023;RMS;Grãos - Trigo;Santo Ângelo;RS;Rio Grande;RS;9.139;7.731.200
02/2023;RMS;Grãos - Trigo;Tigre;RS;Rio Grande;RS;7.997;4.462.565
02/2023;RMS;Óleo Diesel;Araucária Terminal;PR;Eng. Vicente Montanha;PR;16.405;8.426.754
02/2023;RMS;Óleo Diesel;Araucária Terminal;PR;Lages;SC;2.144;854.008
02/2023;RMS;Óleo Diesel;Araucária Terminal;PR;Londrina;PR;13.502;6.832.279
02/2023;RMS;Óleo Diesel;Araucária Terminal;PR;Passo Fundo;RS;3.871;3.290.404
02/2023;RMS;Óleo Diesel;Araucária Terminal;PR;Sarandi;PR;956;488.450
02/2023;RMS;Óleo Diesel;D Pedro II;PR;Araucária Terminal;PR;17.196;2.149.292
02/2023;RMS;Óleo Diesel;D Pedro II;PR;Eng. Vicente Montanha;PR;391;249.715
02/2023;RMS;Óleo Diesel;D Pedro II;PR;Londrina;PR;797;502.913
02/2023;RMS;Óleo Diesel;D Pedro II;PR;Passo Fundo;RS;2.575;2.510.630
02/2023;RMS;Óleo Diesel;D Pedro II;PR;Pátio Industrial;RS;4.106;3.862.760
02/2023;RMS;Óleo Diesel;D Pedro II;PR;Sarandi;PR;2.821;1.781.740
02/2023;RMS;Óleo Diesel;Ijuí;RS;Araucária Terminal;PR;2.510;3.192.536
02/2023;RMS;Óleo Diesel;Passo Fundo;RS;Araucária Terminal;PR;10.587;8.999.098
02/2023;RMS;Óleo Diesel;Pátio Industrial;RS;Araucária Terminal;PR;2.846;2.321.687
02/2023;RMS;Óleo Diesel;Pátio Industrial;RS;Eng. Vicente Montanha;PR;1.935;2.405.789
02/2023;RMS;Óleo Diesel;Pátio Industrial;RS;Ijuí;RS;606;303.474
02/2023;RMS;Óleo Diesel;Pátio Industrial;RS;Lages;SC;2.715;1.133.366
02/2023;RMS;Óleo Diesel;Pátio Industrial;RS;Passo Fundo;RS;5.033;1.402.121
02/2023;RMS;Óleo Diesel;Pátio Industrial;RS;Santa Maria;RS;1.132;347.449
02/2023;RMS;Óleo Diesel;Pátio Industrial;RS;Sarandi;PR;510;630.483
02/2023;RMS;Soja;Cascavel;PR;D Pedro II;PR;9.647;7.088.604
02/2023;RMS;Soja;J.De Castilhos;RS;Rio Grande;RS;2.719;1.790.827
02/2023;RMS;Soja;Marialva;PR;D Pedro II;PR;80.060;49.652.086
02/2023;RMS;Soja;Marialva;PR;São Francisco do Sul;SC;57.606;41.871.259
02/2023;RMS;Soja;Maringa;PR;D Pedro II;PR;47.588;31.015.849
02/2023;RMS;Soja;Maringa;PR;São Francisco do Sul;SC;131.158;99.473.784
02/2023;RMS;Soja;Tupancireta;RS;Rio Grande;RS;1.761;1.202.630
02/2023;RMS;Ureia;km 5;PR;Maringa;PR;777;503.055
03/2023;EFC;Álcool;Itaqui Base Combustível;MA;Açailândia;MA;264;138.072
03/2023;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;37.247;32.479.384
03/2023;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;25.135;13.213.469
03/2023;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;13.431;10.082.650
03/2023;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;4.756;2.487.388
03/2023;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;7.532;5.633.936
03/2023;EFC;Manganês;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;27.983;21.006.838
03/2023;EFC;Minério de Ferro;Açailândia;MA;Ponta da Madeira;MA;11.242;5.767.146
03/2023;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;163.744;61.895.232
03/2023;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;25.977;3.974.481
03/2023;EFC;Minério de Ferro;Carajás;PA;Ponta da Madeira;MA;5.671.704;5.053.488.264
03/2023;EFC;Minério de Ferro;Marabá;PA;Ponta da Madeira;MA;46.420;34.257.960
03/2023;EFC;Minério de Ferro;Serra Leste;PA;Ponta da Madeira;MA;315.894;262.615.948
03/2023;EFC;Minério de Ferro;Serra Sul;PA;Ponta da Madeira;MA;5.226.726;4.946.500.309
03/2023;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;19.459;10.177.057
03/2023;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Marabá;PA;33.401;24.983.948
03/2023;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;7.400;1.780.425
03/2023;EFPO;Soja;Cascavel;PR;Agrária;PR;41.106;9.890.016
03/2023;EFVM;Antracito;Tubarão;ES;Ouro Branco;MG;15.123;10.145.657
03/2023;EFVM;Carvão Mineral;Pedro Nolasco;ES;Intendente Câmara;MG;9.223;4.016.653
03/2023;EFVM;Carvão Mineral;Tubarão;ES;Bela Vista de Minas;MG;8.223;4.307.980
03/2023;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;28.136;12.186.011
03/2023;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;100.686;67.547.820
03/2023;EFVM;Celulose;Aracruz;ES;Frederico Selow;MG;24;8.893
03/2023;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;91.100;33.759.200
03/2023;EFVM;Contêiner Cheio de 20 Pés;Tubarão;ES;Nova Granja;MG;6.327;4.308.445
03/2023;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;24.864;17.915.058
03/2023;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;23.334;12.224.542
03/2023;EFVM;Coque Metalúrgico;Tubarão;ES;Intendente Câmara;MG;68.100;29.494.858
03/2023;EFVM;Ferro Gusa;Aroaba;ES;Pedro Nolasco;ES;4.000;96.292
03/2023;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;15.621;10.013.401
03/2023;EFVM;Ferro Gusa;Funil;MG;Tubarão;ES;11.684;7.461.740
03/2023;EFVM;Fosfato;Tubarão;ES;Brejo Alegre;MG;14.770;20.765.245
03/2023;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;1.733.918;1.012.630.648
03/2023;EFVM;Minério de Ferro;Capitão Eduardo;MG;Intendente Câmara;MG;111.850;24.260.038
03/2023;EFVM;Minério de Ferro;Capitão Eduardo;MG;Mário Carvalho;MG;17.755;3.605.578
03/2023;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.515.510;823.699.378
03/2023;EFVM;Minério de Ferro;Fazendão;MG;Tubarão;ES;1.025.775;609.810.927
03/2023;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;846.230;458.720.958
03/2023;EFVM;Minério de Ferro;Mário Carvalho;MG;Intendente Câmara;MG;6.629;91.639
03/2023;EFVM;Minério de Ferro;Mário Carvalho;MG;Tubarão;ES;102.200;45.676.756
03/2023;EFVM;Minério de Ferro;Ouro Branco;MG;Tubarão;ES;356.595;239.231.024
03/2023;EFVM;Minério de Ferro;Pátio 206;MG;Tubarão;ES;141.558;84.514.372
03/2023;EFVM;Minério de Ferro;Piraqueaçu;ES;Tubarão;ES;26.100;1.895.747
03/2023;EFVM;Minério de Ferro;Timbopeba;MG;Piraqueaçu;ES;19.465;10.478.145
03/2023;EFVM;Minério de Ferro;Timbopeba;MG;Tubarão;ES;740.285;452.270.453
03/2023;EFVM;Minério de Ferro;Tubarão;ES;Intendente Câmara;MG;31.689;13.724.854
03/2023;EFVM;Minério de Ferro;Tubarão;ES;Pedro Nolasco;ES;11.852;322.551
03/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Capitão Eduardo;MG;22.491;4.878.249
03/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Carreira Comprida;MG;4.603;1.028.448
03/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Embiruçu;MG;30.513;7.608.867
03/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Lafaiete Bandeira;MG;28.510;6.351.022
03/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Tubarão;ES;9.259;4.010.174
03/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Capitão Eduardo;MG;3.233;656.533
03/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Lafaiete Bandeira;MG;11.498;7.541.259
03/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Nova Granja;MG;3.113;2.119.834
03/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Parque Industrial;MG;6.798;4.568.118
03/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Aracruz;ES;3.275;1.640.839
03/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Capitão Eduardo;MG;9.067;1.118.457
03/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Eldorado;MG;5.698;822.362
03/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Governador Valadares;MG;9.275;1.893.398
03/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Pedro Nolasco;ES;6.186;3.272.683
03/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Tubarão;ES;1.478;778.394
03/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;Ouro Branco;MG;Tubarão;ES;9.516;6.384.055
03/2023;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Capitão Eduardo;MG;9.856;2.137.744
03/2023;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Carreira Comprida;MG;479;107.022
03/2023;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Lafaiete Bandeira;MG;12.991;2.893.934
03/2023;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Tubarão;ES;5.284;2.288.557
03/2023;EFVM;Prd. Siderúrgicos - Outros;Mário Carvalho;MG;Capitão Eduardo;MG;678;137.682
03/2023;EFVM;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Pedro Nolasco;ES;1.009;679.328
03/2023;EFVM;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Tubarão;ES;13.575;9.107.139
03/2023;EFVM;Prd. Siderúrgicos - Placa;Intendente Câmara;MG;Lafaiete Bandeira;MG;9.787;2.180.201
03/2023;EFVM;Prd. Siderúrgicos - Placa;Intendente Câmara;MG;Tubarão;ES;16.234;7.031.123
03/2023;EFVM;Prd. Siderúrgicos - Placa;Lafaiete Bandeira;MG;Intendente Câmara;MG;1.244;277.119
03/2023;EFVM;Prd. Siderúrgicos - Placa;Mário Carvalho;MG;Tubarão;ES;386;172.516
03/2023;EFVM;Prd. Siderúrgicos - Placa;Tubarão;ES;Intendente Câmara;MG;34.847;15.092.617
03/2023;EFVM;Prd. Siderúrgicos - Tarugo;João Monlevade;MG;Parque Industrial;MG;1.005;146.052
03/2023;EFVM;Prd. Siderúrgicos - Tarugo;Ouro Branco;MG;Tubarão;ES;24.553;16.472.018
03/2023;EFVM;Prd. Siderúrgicos - Tarugo;Pedro Nolasco;ES;João Monlevade;MG;1.419;750.716
03/2023;EFVM;Toras de Madeira;Desembargador Drumond;MG;Frederico Selow;MG;20.283;2.203.423
03/2023;EFVM;Toras de Madeira;Eng. Costa Lacerda;MG;Frederico Selow;MG;34.101;5.823.427
03/2023;FCA;Açúcar;Guará;SP;Estação TUF;SP;111.322;71.239.593
03/2023;FCA;Açúcar;Ribeirão Preto;SP;Santos;SP;34.630;19.234.812
03/2023;FCA;Areia;Capitão Eduardo;MG;Carreira Comprida;MG;6.863;44.829
03/2023;FCA;Areia;Roncador Novo;GO;Brasília;DF;4.777;1.168.296
03/2023;FCA;Bauxita;Bauxita;MG;Alumínio;SP;52.918;14.806.190
03/2023;FCA;Bauxita;Brasília;DF;Alumínio;SP;172.664;199.304.154
03/2023;FCA;Cal;Nova Granja;MG;Porto de Aratu;BA;8.997;14.081.483
03/2023;FCA;Calcário Siderúrgico;Arcos;MG;Barra Mansa;RJ;74.289;34.656.412
03/2023;FCA;Calcário Siderúrgico;Matozinhos;MG;Intendente Câmara;MG;40.142;10.993.729
03/2023;FCA;Calcário Siderúrgico;Nova Granja;MG;Tubarão;ES;46.060;31.365.108
03/2023;FCA;Celulose;LD Celulose;MG;Aracruz;ES;33.449;45.060.017
03/2023;FCA;Clínquer;Arcos;MG;Barra Mansa;RJ;43.674;20.374.270
03/2023;FCA;Cloreto de Potássio;Estação TUF;SP;Valefertil;MG;3.253;2.260.831
03/2023;FCA;Cloreto de Potássio;Fosfago;GO;Final Ramal das Fábricas;SP;35.196;35.971.438
03/2023;FCA;Contêiner Cheio de 20 Pés;Batista Almeida;MG;Calcario;RJ;2.425;1.157.471
03/2023;FCA;Contêiner Cheio de 20 Pés;Batista Almeida;MG;Tubarão;ES;5.363;5.237.183
03/2023;FCA;Contêiner Cheio de 20 Pés;Nova Granja;MG;Tubarão;ES;1.073;730.671
03/2023;FCA;Contêiner Cheio de 40 Pés;Replan;SP;General Curado;GO;1.841;1.791.583
03/2023;FCA;Cromita;Campo Formoso;BA;Irapui;BA;6.668;2.569.766
03/2023;FCA;Cromita;Itiuba;BA;Irapui;BA;43.346;13.089.580
03/2023;FCA;Demais Produtos;Nova Granja;MG;Tubarão;ES;3.290;2.240.364
03/2023;FCA;Demais Produtos;Replan;SP;Estação Pool;GO;2.038;2.083.206
03/2023;FCA;Dolomita;Arcos;MG;Barra Mansa;RJ;28.847;13.457.356
03/2023;FCA;Enxofre;Estação TUF;SP;Valefertil;MG;89.458;62.170.126
03/2023;FCA;Farelo de Soja;Brejo Alegre;MG;Estação TUF;SP;26.449;24.808.716
03/2023;FCA;Farelo de Soja;General Curado;GO;Tubarão;ES;59.544;104.235.880
03/2023;FCA;Farelo de Soja;Ipameri;GO;Santos;SP;20.913;21.616.973
03/2023;FCA;Ferro Gusa;Paulo Menicucci;MG;Tubarão;ES;8.059;6.647.053
03/2023;FCA;Ferro Gusa;Prudente de Morais;MG;Pedro Nolasco;ES;19.659;14.211.781
03/2023;FCA;Ferro Gusa;Prudente de Morais;MG;Tubarão;ES;28.309;20.397.252
03/2023;FCA;Fosfato;Catalão;GO;Valefertil;MG;113.522;34.402.046
03/2023;FCA;Gasolina;Candeias;BA;Montes Claros;MG;892;954.970
03/2023;FCA;Gasolina;Embiruçu;MG;Governador Valadares;MG;4.841;1.742.574
03/2023;FCA;Gasolina;Replan;SP;Brasília;DF;1.204;1.267.048
03/2023;FCA;Gasolina;Replan;SP;Estação Pool;GO;2.390;2.443.014
03/2023;FCA;LAB - Sulfonato de alquilbenzeno linear;Copec;BA;Vespasiano;MG;661;1.065.933
03/2023;FCA;Magnesita;Catiboaba;BA;Parque Industrial;MG;22.626;23.188.866
03/2023;FCA;Magnesita;Catiboaba;BA;Porto de Aratu;BA;2.160;1.309.482
03/2023;FCA;Minério de Ferro;Licínio de Almeida;BA;Minério Bahia;BA;53.254;30.904.787
03/2023;FCA;Minério de Ferro;Silva Oliveira;MG;Intendente Câmara;MG;166.939;51.644.916
03/2023;FCA;Minério de Ferro;Terminal de Patrocínio;MG;Terminal de Fosfatados;MG;362.033;70.108.052
03/2023;FCA;Óleo Diesel;Candeias;BA;Montes Claros;MG;10.138;10.853.690
03/2023;FCA;Óleo Diesel;Embiruçu;MG;Desembargador Drumond;MG;1.534;272.492
03/2023;FCA;Óleo Diesel;Embiruçu;MG;Governador Valadares;MG;1.930;694.725
03/2023;FCA;Óleo Diesel;Embiruçu;MG;Tubarão;ES;279;190.410
03/2023;FCA;Óleo Diesel;Replan;SP;Brasília;DF;8.307;8.742.002
03/2023;FCA;Óleo Diesel;Replan;SP;Estação Pool;GO;5.511;5.633.244
03/2023;FCA;Outros - adubos e Fertiliz - Perigoso;Estação TUF;SP;Valefertil;MG;12.966;9.011.356
03/2023;FCA;Outros - Comb e derivado -  Perigoso;Embiruçu;MG;Tubarão;ES;37.626;25.678.840
03/2023;FCA;Prd. Siderúrgicos - Tarugo;Divinopolis;MG;Tubarão;ES;4.225;3.437.552
03/2023;FCA;Prd. Siderúrgicos - Tarugo;Parque Industrial;MG;Tubarão;ES;3.280;2.204.094
03/2023;FCA;Soja;Brejo Alegre;MG;Estação TUF;SP;3.566;3.383.793
03/2023;FCA;Soja;Brejo Alegre;MG;Tubarão;ES;187.373;263.429.028
03/2023;FCA;Soja;Carreira Comprida;MG;Tubarão;ES;49.012;32.178.385
03/2023;FCA;Soja;Pirapora;MG;Tubarão;ES;77.164;81.301.302
03/2023;FCA;Soja;Terminal Integrador Uberaba;MG;Conceiçãozinha;SP;104.333;85.726.402
03/2023;FCA;Soja;Terminal Integrador Uberaba;MG;Estação TUF;SP;559.930;459.790.738
03/2023;FCA;Soja;Terminal Integrador Uberaba;MG;Santos;SP;98.424;80.362.514
03/2023;FCA;Toras de Madeira;Prudente de Morais;MG;Aracruz;ES;92.759;64.457.115
03/2023;FCA;Ureia;Estação TUF;SP;Valefertil;MG;8.983;6.243.176
03/2023;FNSTN;Álcool;Porto Nacional;TO;Itaqui Base Combustível;MA;1.797;2.238.163
03/2023;FNSTN;Celulose;Suzano;MA;Pátio Esso;MA;134.896;83.038.470
03/2023;FNSTN;Cloreto de Potássio;Ponta da Madeira;MA;Palmeirante;TO;11.200;10.856.966
03/2023;FNSTN;Gasolina;Itaqui Base Combustível;MA;Porto Nacional;TO;7.530;9.378.614
03/2023;FNSTN;Óleo Diesel;Itaqui Base Combustível;MA;Porto Nacional;TO;43.057;53.627.491
03/2023;FNSTN;Outros - Comb e derivado -  Perigoso;Porto Nacional;TO;Itaqui Base Combustível;MA;924;1.150.842
03/2023;FNSTN;Prd. Siderúrgicos - Outros;Ponta da Madeira Pêra do Píer;MA;Campinorte;TO;1.797;3.186.988
03/2023;FNSTN;Soja;Palmeirante;TO;Ponta da Madeira Pêra do Píer;MA;461.533;451.449.998
03/2023;FNSTN;Soja;Porto Franco;MA;Ponta da Madeira Pêra do Píer;MA;271.176;197.363.405
03/2023;FNSTN;Soja;Porto Nacional;TO;Ponta da Madeira Pêra do Píer;MA;414.864;518.886.010
03/2023;FTC;Carvão Mineral;Mina Novo Horizonte;SC;Capivari;SC;32.175;1.778.022
03/2023;FTC;Carvão Mineral;Rio Fiorita;SC;Capivari;SC;133.562;10.521.274
03/2023;FTC;Carvão Mineral;Sangão;SC;Capivari;SC;1.723;117.558
03/2023;FTC;Carvão Mineral;Urussanga;SC;Capivari;SC;50.136;3.236.579
03/2023;FTC;Contêiner Cheio de 20 Pés;Eng. Paz Ferreira;SC;Imbituba;SC;36.510;3.892.039
03/2023;FTC;Contêiner Cheio de 40 Pés;Eng. Paz Ferreira;SC;Imbituba;SC;17.414;1.856.367
